name,landscape and content,suitable activities,atmosphere,latitude,longitude,x,y,id
Square pour chiens Rue Bonaparte,"Small, dusty fenced area with minimal greenery (mostly sand/dirt), lacking benches or shade. Located near Luxembourg Gardens. Clean but sparse, with no plants or amenities.","Short off-leash dog relief, basic socialization for small dogs. Limited exercise due to cramped space. Unsuitable for active play or large breeds.","Functional but underwhelming; visitors appreciate the convenience but express frustration over cramped conditions, lack of comfort, and unappealing dusty environment.",48.8489538,2.3328816,651044.4255259008,6861196.875355827,420
Pere Teilhard de Chardin Garden,"Small urban garden with green space, benches, and historical elements (formerly a statue of Arthur Rimbaud). Noted for rats, poor maintenance, and proximity to libraries/architecture.","Lunch breaks, relaxing on benches, short pauses. Ideal for brief respites or quiet downtime in central Paris.","Mixed: peaceful and green but marred by neglect, urban grit, and occasional vermin. Some find it pleasant; others note dirtiness.",48.841287,2.3503161,652316.7891946821,6860333.73518088,421
Square Felix Desruelles,"Small, well-maintained park with a historic ceramic wall from Sèvres, adjacent to Saint-Germain-des-Prés church. Features greenery, shaded seating, and a play area for children.","Relaxing, resting, picnicking, letting children play in the dedicated area, and admiring the ceramic artwork.","Tranquil, quiet, and peaceful with a hidden charm, offering a calm escape in the bustling Saint-Germain-des-Prés neighborhood.",48.8535714,2.3353157,651227.3664532509,6861708.802440681,422
Square Bidault,"Small, tree-lined square with seasonal blossoms, a pond, and children's play areas. Features greenery and games but has occasional maintenance issues like dirtiness and rats.","Relaxing, picnics, short breaks, children's play, and lunch pauses. Limited by closures and restrictions like no dogs allowed.","Generally calm and quiet with a local, neighborhood vibe. Some reviews note disturbances from crowds or squatters, creating an inconsistent peaceful/dirty ambiance.",48.8698255,2.3499078,652312.94845296,6863507.2102210205,423
Cour Carree,"Historic symmetrical courtyard with classical architecture, part of the Louvre Museum. Features grand façades, serene promenades, and scenic photo spots, blending Renaissance design with monumental proportions.","Photography (especially at sunset), quiet contemplation, leisurely strolls, exploring architectural details, and taking breaks in uncrowded spaces.","Peaceful, tranquil, and uncrowded. Offers a calm retreat with a dreamlike, timeless ambiance contrasting the bustling museum areas.",48.8606111,2.337644,651404.7725036474,6862490.119186663,424
Jardin de l'hotel de Lamoignon,"Small, tranquil garden with trees, benches, and aromatic plants like thyme/rosemary. Features historic architecture, handmade bird feeders, and shaded areas. Described as charming, well-maintained, and secluded within the Marais.","Sitting on benches, relaxing, taking short breaks, enjoying quiet lunches, or reflecting. Ideal for escaping city bustle or cooling off in shaded areas.","Peaceful, intimate, and calm. Visitors highlight its quiet, serene vibe as a hidden gem offering respite from urban noise.",48.85689929999999,2.3619588,653185.3075689329,6862062.709000746,425
Square Maurice Gardette,"Green, well-kept Parisian park with lush vegetation, playgrounds, ping-pong tables, and pétanque areas. Features shaded benches and a tranquil garden design.","Children’s play, strolling, reading, ping-pong, pétanque, exercise, dance classes, and relaxing on benches. Ideal for family outings or quiet breaks.","Peaceful, calm, and family-friendly. Offers a serene escape from city noise with a local, community-oriented vibe.",48.86164489999999,2.3791683,654452.1344540605,6862580.31557228,426
Jardin Roger-Priou-Valjean,"Small shaded green space with play areas, a bowling green, and a slide. Features include wild vegetation, proximity to the Seine, and two entrances overlooking streets. Some reviews note two separate garden areas.","Children's play (slide), pétanque/bowling, shaded relaxation, quiet strolls. Suitable for family outings or casual games.","Quiet, relaxed, and timeless vibe with shady tranquility. Some visitors note neglect, but most emphasize peaceful, pleasant surroundings.",48.8539575,2.359289,652986.7676914926,6861737.19278626,427
Parc de Bercy,"Lush green spaces with varied scenery, flowers, trees, insect hotels, and creative layouts. Features a mix of serene gardens and adjacent bus stations. Some areas noted for cleanliness issues in facilities.","Relaxing, picnics, running, cycling, family outings, waiting for buses, enjoying nature, and quiet contemplation.","Generally peaceful and calm during the day, with a relaxing vibe. Some visitors report feeling uneasy at night due to sparse lighting or isolated areas. Family-friendly but occasionally crowded.",48.8363163,2.3812948,654586.0763556514,6859762.782754623,428
Espace canin - Nelson Mandela,"Small fenced dog park with children's playgrounds nearby. Described as closed, clean, but criticized for poor maintenance and unclear purpose by some reviewers.","Letting dogs play off-leash, socializing pets, and supervising children in adjacent playground areas.","Mixed: friendly for dog owners but criticized as neglected. Some find it decent, others express disappointment over upkeep or closure.",48.8630256,2.3434398,651832.2168301594,6862755.040272215,429
Parc des Buttes-Chaumont,"Hilly park with lush greenery, cliffs, waterfalls, a lake (under construction), and diverse vegetation. Features scenic viewpoints, historic design by Napoleon III, and a striking island with a temple-like structure.","Relaxing, walking, jogging, picnicking, exploring nature trails, enjoying scenic views, photography, and visiting the gelato stand.","Tranquil yet vibrant oasis blending serenity with lively energy. Peaceful escape from city bustle, with a mix of calm natural beauty and social vibrancy from visitors and dogs.",48.88222529999999,2.3819534,654674.3734731578,6864867.112109626,430
Richard Lenoir Green Belt - Square Richard Lenoir,"Tree-lined promenade with neat plantations, flower beds, and water features. Some reviews note clutter, missing bench planks, and occasional rats. Features sports facilities and shaded paths along Boulevard Richard Lenoir.","Walking, jogging, exercising with weight machines, children's playgrounds, ping pong, pétanque, and reading. Includes workout areas and open-air sports equipment.","Mostly calm and relaxing with shaded seating, but disrupted by homeless individuals, alcoholics, and occasional crowds. Mix of tranquil greenery and urban liveliness.",48.8601281,2.3722717,653944.8291162379,6862415.659910116,431
Jardin Lazare-Rachline,"Small, well-maintained French garden with floral displays (tulips), hidden behind hedges/bars. Features rectangular layout, greenery, and flowery plantations. Described as 'magnificent' but some note it's tiny or dilapidated.","Relaxation, quiet reflection, reading, meditating, enjoying solitude. Not suited for crowds or active pursuits due to its size and privacy.","Tranquil, secluded, and serene. Often empty or uncrowded, offering a peaceful escape from urban bustle. Described as 'secret,' 'private,' and discreet, with occasional mentions of neglect.",48.85793899999999,2.3621444,653199.8590919087,6862178.204748562,432
Belleville Park,"Hilltop park with panoramic views of Paris (including Eiffel Tower), street art, steep slopes, green spaces, and playgrounds. Features varied maintenance levels and multicultural surroundings.","Sightseeing, picnics, jogging, neighborhood exploration, relaxing on grassy slopes, photography, and family time at playgrounds.","Quiet local vibe with romantic and multicultural energy, though some areas feel slightly seedy or crowded. Mix of hidden-gem charm and urban grittiness.",48.8710678,2.3847051,654866.5029574445,6863624.892931741,433
Square Ozanam,"Small public garden with shaded benches, a playground for toddlers, and a water fountain. Features a nearby church, some greenery, and flowers. Criticized for occasional rat presence and limited maintenance.","Relaxing on benches, toddler playtime, lunch breaks, and quiet snacking. Limited to daytime use due to closure at night.","Generally calm and peaceful, with occasional crowds. Mixed reviews: described as charming, serene, or underwhelming due to cleanliness issues and rodent sightings.",48.8432533,2.3273662,650634.2957470268,6860566.470760863,434
Square d'Estienne d'Orves,"Small urban park with trees, a playground, and a church. Features green spaces amid city surroundings, described as a 'concrete jungle' escape. Some mention of nearby bars and restaurants.","Relaxing, coffee breaks, kids' play, picnics, photography. Suitable for resting, casual snacks, and brief escapes from urban bustle.",Mostly quiet and enchanting despite adjacent street noise. Mix of serene and lively vibes; some note cleanliness issues but praise its calmness in a busy area.,48.8766014,2.3317228,650985.4087165125,6864271.776730561,435
Parc de Valmy,"Canal-side park with outdoor calisthenics equipment (pull-up bars, monkey bars, chest bench), renovated green spaces, trees, and water features. Features Saint Martin canal views and recreational facilities.","Calisthenics/street workouts, family outings, ping-pong, walking, relaxation by the canal, and community socializing.","Energetic yet tranquil; blends workout intensity with soothing canal-side serenity. Community-oriented, well-maintained, with a mix of local Parisian vibes and tourist-friendly warmth.",48.8779532,2.3661179,653509.2580456497,6864401.287366134,436
Parc Monceau,"A picturesque park featuring classical arches, columns, statues, vibrant floral displays, a tranquil pond with a bridge, and themed gardens. Blends historical structures with lush greenery and colorful blooms.","Walking, jogging, picnics, photography, relaxing on benches, family outings, and escaping city noise. Ideal for leisurely strolls or quiet contemplation.","Serene, peaceful, and enchanting. Combines tranquility with a lively yet calm ambiance, offering a refuge from urban bustle while maintaining vibrant energy through visitors and natural beauty.",48.8796835,2.308955,649318.5524725675,6864628.857892065,437
Square Louis XIII,"Historic square park with statues, fountains, and well-maintained 16th-century architecture, located in Place des Vosges. Features lush greenery, a central fountain, and proximity to Victor Hugo's house.","Picnicking on the grass, relaxing, playing, exploring historic sites, and visiting nearby attractions like Victor Hugo's house.","Tranquil yet lively, blending historic grandeur with a peaceful, serene vibe. Described as charming, majestic, and busy but calm.",48.8556164,2.365526,653445.8901673292,6861917.952583156,438
Jardin des Plantes,"Expansive botanical garden with manicured paths, seasonal floral displays, historical greenhouses, and diverse exhibits. Features include sandy running tracks, Christmas light shows, and well-maintained plant collections.","Leisurely strolls, picnics, jogging, visiting museums/exhibits, photography, reading under trees, and attending seasonal events like light shows.","Tranquil oasis offering a serene escape from urban noise, with a peaceful, rejuvenating ambiance and historical charm.",48.8439621,2.3595996,653000.544167056,6860625.6134526655,439
Square Montholon,"Green space with shaded benches, playgrounds, fountains, and gardens. Features well-kept lawns, seasonal blooms, and scenic pathways. Includes kid-friendly areas and occasional pigeon activity.","Relaxing, picnics, sunbathing, playground use for children, short walks, casual breaks, people-watching, and enjoying quiet lunches.","Peaceful, lively yet relaxed. Mix of serene shaded spots, family-friendly energy, and urban vibrancy with occasional traffic noise. Feels warm and idyllic for unwinding.",48.8768914,2.3465378,652072.2522335283,6864294.928543559,440
Square Marigny,"Green, shaded park with gardens, trees, and a small playground. Features artistic elements and proximity to Champs-Élysées. Mixed mentions of beauty and underutilized space.","Picnics, strolling, reading, relaxing, and family breaks. Playground use for kids. Quick stops or quiet breaks amid sightseeing.","Mostly calm and peaceful with shaded areas, but can be busy or noisy due to crowds and nearby attractions. Mix of tranquility and bustling energy.",48.869069,2.3124943,649567.8427977243,6863446.338346518,441
Jardin des Grands-Explorateurs,"Green space with fountains (including Marco Polo), statues, ponds with ducks, playgrounds, and sports facilities. Features diverse plant life and connects to Luxembourg Gardens. Clean, well-maintained, and less crowded than nearby attractions.","Picnics, jogging, playgrounds for kids, street workouts (pullup/dip bars), petanque, table tennis, reading, relaxing, and dog walks (despite one conflicting review).","Peaceful, family-friendly, and tranquil. Quieter than Luxembourg Gardens, with a relaxed vibe for unwinding or casual socializing. Scenic but occasionally dusty.",48.8418366,2.336885000000001,651331.5567610064,6860403.039478191,442
Jardin de Reuilly - Paul Pernin,"Suspended gardens with flowers, water features, and artistic statues along a converted railtrack (Promenade Plantée/Coulée Verte). Features grassy areas, clean pathways, and shaded seating. Part of a green corridor in the 12th district.","Walking, picnicking, sunbathing, family outings, and relaxing. Ideal for strolling along elevated paths, enjoying floral displays, or children’s play. Serves as a start/end point for the Coulée Verte trail.","Peaceful, calm, and uncrowded. Described as a hidden gem with a relaxed, tranquil vibe. Clean, well-maintained, and family-friendly, offering quiet respite from urban bustle.",48.8422086,2.3876978,655061.1375147456,6860414.283715112,443
Square Francis-Lemarque,"Small green space with trees, flowers, and a vandalized fountain. Features seating areas and a playground, but noted for removed bushes and potential rodent issues.","Family outings, children's play, public games, relaxation, community events like solidarity meals, and casual after-parties with music.","Generally pleasant and quiet, with sunny-day appeal. Mix of family-friendly vibes, community camaraderie, and some concerns about maintenance or rodent presence.",48.8560299,2.376971,654286.0046610284,6861957.243456868,444
Aire de jeux pour chiens,"Small dog park overlooking the Seine with limited facilities (no water points). Clean but criticized for size. Mixed reviews on visibility and maintenance, with some mentioning scenic quay views.","Dog exercise and socialization in a compact space. Casual leisure with views of the Seine, though limited by park size and amenities.","Divisive: praised as a novel initiative but often frustrating due to cramped conditions, poor upkeep, and difficulty locating the area.",48.8456512,2.3632803,653272.182036415,6860811.240350093,445
Square Alex-Biscarre,"Small, well-maintained park with greenery, benches, and a children's play area, nestled between buildings. Features shaded spots, some games, and occasional gardens.","Picnicking, resting, reading, children's play, lunch breaks, and quiet relaxation. Ideal for escaping city bustle or taking a peaceful pause.","Tranquil, secluded, and calm. Offers a serene escape from urban noise, with a quiet, shaded ambiance appreciated for unwinding.",48.8784948,2.3367359,651354.852821419,6864479.209804373,446
Parc Montsouris,"Lush green spaces with hilly landscapes, grassy areas, a serene lake, and diverse tree species. Features pathways, a waterfall, and Central Park-like elements, blending natural beauty with 19th-century design in a non-touristy setting.","Walking, picnics, jogging, reading, family outings (pony rides, playgrounds), quiet relaxation, and scenic photography. Ideal for solo reflection or group activities.","Tranquil, peaceful, and locally oriented. Offers a serene escape with a calming vibe, blending natural serenity with subtle urban energy for relaxation and rejuvenation.",48.8226716,2.3376598,651370.5460921258,6858271.631254755,447
Parc Clichy-Batignolles - Martin Luther King,"Modern park with lush greenery, water features, cherry blossoms, skatepark, playgrounds, and contemporary architecture. Combines natural elements (ponds, trails) with urban design, surrounded by new buildings.","Walking, jogging, skateboarding, picnicking, sunbathing, relaxing, kids' play, fitness exercises, and enjoying seasonal cherry blossoms.","Serene yet vibrant; peaceful urban oasis with family-friendly energy. Mixes quiet relaxation (calm water, shaded areas) with lively spots (skatepark, playgrounds). Clean, spacious, and modern.",48.8911732,2.3143031,649721.8684249899,6865903.021054082,448
Square Marcel Pagnol,"Small, well-maintained green space with trees, flowers, benches, and a ping pong table. Features a historic square (1867) and views of a nearby church. Described as intimate and visually appealing with manicured plants.","Relaxing, picnics, ping pong, reading, or quiet breaks. Suitable for children (with supervision) and short strolls. Best enjoyed in good weather due to lack of shelter.","Peaceful, calm, and secluded despite its central location. Often described as a hidden gem offering tranquility amid urban bustle.",48.8759392,2.3203264,650148.9298321832,6864205.279247811,449
Square des Amandiers,"Tree-filled park with shaded areas, landscaped paths, water fountains, play equipment, and greenery. Features sand areas (dusty when windy) and renovated spaces. Includes exercise machines and occasional markets.","Family outings, children’s play, relaxing in shaded areas, exercise using weight machines, attending garage sales or markets, and enjoying water features.","Generally quiet and cool, with a family-friendly vibe. Mix of peaceful wooded areas and occasional dust/noise. Some find it revitalized, others note maintenance needs.",48.865848,2.3881856,655117.3044894957,6863042.504647435,450
Ajaccio Square,"Small but picturesque park with floral arrangements, shaded areas, and views of the Eiffel Tower. Features a French garden design, green spaces, and occasional wildlife like rabbits. Well-maintained with a mix of natural and designed elements.","Resting after sightseeing, picnics, quick breaks, playground for kids, morning walks, and enjoying scenic views.","Peaceful and cozy, offering a quiet escape with a mix of tranquility (shaded, calm) and occasional liveliness from families and visitors. Feels hidden and serene despite central location.",48.85783379999999,2.3148942,649733.0443770152,6862195.54932758,451
Square Jules Verne,"Small park with play areas, gardens, trees, and a slide. Features community elements like compost, shared gardens, and a media library. Some reviews note maintenance issues (deteriorating paths, sand).","Children's play, family relaxation, reading at the media/library area, gardening in shared spaces. Ideal for young kids (2-10 years).","Generally calm and family-friendly with secure play zones, but mixed reviews mention occasional issues with squatters, smoking, and drug-related concerns affecting safety vibes.",48.8701409,2.3750885,654160.2990275925,6863527.367823812,452
Square Hector Berlioz,"Small, artistic green space with trees, flowers, a children's playground, and benches. Described as clean, family-friendly, and featuring quiet corners despite urban surroundings.","Children's play (especially toddlers), family relaxation, casual hangouts, and brief escapes from city chaos. Playgrounds and benches cater to young families.","Generally calm, welcoming, and family-oriented, though some note occasional weed smokers or teen crowds. Mixes quiet relaxation with a neighborhood vibe.",48.8831694,2.3298582,650854.8517062147,6865003.253689593,453
Saint-Lazare Garden,"Hidden green oasis with sunny spots, benches, and sculptures. Features a quiet garden nestled near a media library, blending artistic elements with urban nature.","Relaxing on benches, reading, enjoying quiet solitude, visiting the adjacent media library, and appreciating sculptures and greenery.","Peaceful, tranquil, and secluded. Offers a calm escape from urban bustle with a serene, well-hidden ambiance.",48.8757244,2.3539797,652616.9995029476,6864160.674714121,454
Promenade de l'Allee du Seminaire,"Wooded area with wild bushes, shaded paths, and historical elements. Features a dog-friendly environment and well-appointed walking trails.","Dog walking, leisurely strolls, relaxing on benches. Ideal for brief stops or quiet walks in a natural setting.","Peaceful, discreet, and charming. Offers a calm, shaded retreat with historical resonance, though occasionally noted as less clean.",48.8495773,2.3328921,651045.7817544858,6861266.196005443,455
Fontaine de la Nymphe marine,"Statue fountain with marine nymph theme near the Louvre, featuring classical design. Some reviews note occasional waterlessness but praise its beauty and proximity to major landmarks.","Resting, short breaks, and relaxing near the fountain. Suitable for quick pauses during sightseeing or people-watching in the busy area.","Mix of quiet relaxation and bustling energy. Peaceful ambiance contrasts with crowded tourist activity, though waterless periods may diminish its charm.",48.8636761,2.3350008,651213.7230140792,6862832.55144908,456
Square Jean XXIII,"Historic park adjacent to Notre Dame Cathedral, featuring Gothic architecture, shaded seating areas, and street artists. Highlights include views of the cathedral, small shops, and a serene garden setting with historical significance.","Relaxing on benches, photographing Notre Dame, people-watching, enjoying street performances, and exploring nearby shops. Ideal for quiet reflection or soaking in Parisian ambiance.","Vibrant yet occasionally serene; bustling with tourists, especially near the cathedral. Mixes awe-inspiring historical grandeur with lively street energy, though crowded. Peaceful in early mornings or evenings.",48.8524084,2.3508717,652367.7321494878,6861569.991411173,457
Parc Jean-Baptiste Clement,"Small, fenced park with floral arrangements; described as a triangle-shaped flower garden or small square. Minimalistic green space in urban Montmartre.","Brief strolling, pausing during neighborhood walks, appreciating flowers. Not suited for extended activities due to limited size.","Charming, cozy, and quaint. Offers a peaceful but underwhelming vibe for those expecting a traditional park.",48.8866248,2.3389201,651522.6113496646,6865381.871445207,458
Square Louise Michel,"Scenic urban park with gardens, historic stairs, and panoramic views of Sacré-Cœur. Features green spaces, a carousel, and a mix of architectural beauty. Themed around serene landscapes juxtaposed with bustling city elements.","Sitting, picnicking, photography, walking the stairs, enjoying views, people-watching, and relaxing. Ideal for quiet reflection or group gatherings.","Peaceful, charming, and vibrant. Combines tranquility with lively energy from visitors and surroundings. Crowded yet calming, with occasional pickpocket warnings.",48.8850123,2.3433924,651849.0692303057,6865199.8345528245,459
Medieval Garden of the Cluny Museum,"Medieval-themed garden with Roman ruins, shaded greenery, twisted cane furniture, and historical exhibitions. Connected to the Cluny Museum, featuring tapestries and artifacts. Some areas occasionally closed.","Resting, picnics, quiet breaks, ice cream enjoyment, exploring historical content. Limited play areas; not ideal for children due to safety concerns.","Tranquil, shaded retreat with a serene vibe, though occasionally disrupted by urban noise, crowds, and minor cleanliness issues. Peaceful yet intermittently bustling.",48.850769,2.3443889,651890.5292980889,6861391.63553613,460
Parc Georges-Brassens,"Lush green spaces with wild vegetation, ponds with ducks, water fountains, play areas for kids, open lawns, and petanque courts. Features a mix of natural beauty and functional design, including benches and shaded paths.","Walking, jogging, picnics, children's play, petanque, relaxing on benches, duck-watching, and attending local markets or events.","Peaceful, community-focused ambiance with a local neighborhood vibe. Combines serenity for relaxation with lively energy from families and casual social interactions.",48.8315212,2.2997888,648598.8289268311,6859279.587767088,461
Square Berlin,"Small green space with a fountain, benches, and historical context near Champs-Élysées. Features manicured lawns and proximity to major landmarks. Some areas are under construction.","Relaxing on benches, enjoying the fountain, taking short breaks during sightseeing or shopping, and quick stops for quiet reflection.",Calm and charming with a mix of urban energy and tranquility. Slightly noisy due to nearby traffic but offers a peaceful escape from bustling surroundings.,48.8677481,2.3125659,649571.8162129268,6863299.419126414,462
Sorbonne University Pierre and Marie Curie Campus,"Historic campus with notable architecture, including grand buildings and a mineralogy museum. Features academic facilities, green spaces, and a mix of modern and classical design elements.","Studying, attending conferences, exploring academic environments, visiting museums, and appreciating architectural or scientific exhibits.","Academic, intellectually stimulating, and vibrant. Described as inspiring and friendly, though some note accessibility challenges or overrated perceptions.",48.8471036,2.357499,652849.2252632983,6860976.169903667,463
"University Paris Cite, Odeon University Head Office","Historic public research university with notable architecture, though some mention aging facilities. Features academic sites, lecture theaters, and a research-oriented environment. Mixed reviews on maintenance and website usability.","Academic studies, research, attending lectures, applying for programs (e.g., DU TCC, IDEC). Criticisms note administrative challenges and e-learning issues.","Mixed academic environment: praised for educational quality and prestige, but criticized for disorganization, unresponsive staff, and maintenance concerns.",48.8575475,2.3513765,652409.466897741,6862141.109201814,464
Paris-Sorbonne University,"Magnificent historic architecture with prestigious academic buildings, grand hallways, and courtyards. Features emblematic structures but some areas show maintenance needs. Known as one of Europe's oldest universities with a rich academic legacy.","Exterior photography, admiring architecture, studying or attending cultural events (limited interior access). Visiting nearby cafes and bookstores. Note: Restricted entry for tourists.","Prestigious and awe-inspiring, blending academic rigor with historical grandeur. Lively student energy contrasts with occasional administrative inefficiency. Visitors feel a mix of intellectual reverence and subtle faded charm.",48.8575475,2.3513765,652409.466897741,6862141.109201814,465
Pantheon-Sorbonne University,"Historic architecture with stunning buildings like Sorbonne, though some note poor maintenance. Combines academic prestige with grand, old Parisian university structures.","Studying, strolling, sightseeing architectural details, visiting during Christmas or at night for seasonal views.","Prestigious academic ambiance with historic charm, inspiring yet occasionally disorganized. Mix of awe for architecture and frustration over administration.",48.84701219999999,2.3445019,651895.3534364029,6860973.846557373,466
Sciences Po,"Historic architecture with beautiful campuses (Saint Thomas), modern facilities, and a focus on social sciences. Features grand buildings, libraries, and academic resources.","Studying, attending lectures, networking with international students, participating in academic associations, and exploring campus facilities like libraries.","Academic excellence, international vibrancy, and intellectual rigor. Described as inspiring, elite, and socially engaging, with a mix of historic prestige and modern energy.",48.8575475,2.3513765,652409.466897741,6862141.109201814,467
Statue Jules Cesar,"Bronze statue of Julius Caesar in a small Seine-side park with benches and trees, replicating the original destroyed in the French Revolution.","Photography, relaxing on benches, enjoying park views, and summer sightseeing near the Seine.","Lively yet relaxed, with tourists and locals socializing in a sunny, riverside setting.",48.8643297,2.3246224,650452.973419137,6862911.688576601,468
Street Art - Fresque d’Emilie Rouge avec Weirdwalls,"Urban murals featuring vibrant street art by Emilie Rouge in the 13th arrondissement, characterized by bold colors and creative designs.","Guided or self-guided street art tours, photography of large-scale murals, exploring outdoor art installations.","Dynamic and culturally rich, with an energetic urban vibe that celebrates creativity and contemporary art.",48.8310401,2.3649309,653380.2478344163,6859185.662536289,469
Fresque ''C'est nous les Gars d'Ménilmontant'',No available review data to extract characteristics of the landscape and content.,No available review data to identify suitable activities.,No available review data to summarize the atmosphere.,48.8685173,2.389347,655204.7984655474,6863338.651936103,470
Fontaine-scultpure sphères d'acier tronquées de Alberto Guzman,"Small garden with modern steel-truncated sphere sculptures by Alberto Guzman, featuring a fountain and minimalist geometric forms.","Quiet contemplation, sitting on benches, observing sculptures, enjoying a peaceful break in a secluded green space.","Calm, meditative, and understated; offers a respite from urban noise with intimate artistic charm.",48.8291566,2.3681145,653612.2716266866,6858974.36351018,471
Ecoute Samuel,Functional public service facility with practical urban infrastructure elements.,Accessing essential public utilities or municipal services.,Utilitarian and practical environment focused on civic functionality.,48.8775293,2.3308075,650919.152337169,6864375.521332674,472
St Genevieve Fountain,Insufficient review data available to describe landscape and content.,Insufficient review data available to identify suitable activities.,Insufficient review data available to summarize the atmosphere.,48.84735209999999,2.3485375,652191.8166714638,6861009.189180127,473
Paroisse St laurent,"Primarily associated with personal grooming services, particularly hairstyling by a professional named Styve.",Hairstyling appointments and personal care services.,"Friendly, professional, and satisfying environment with a focus on trusted, long-term client relationships.",48.8746866,2.358665,652959.7026283012,6864042.477082922,474
Ancienne fresque murale,Features a historic building adorned with exceptional decorative artwork using the 'sgraffito' technique—layered plaster scraped to reveal contrasting colors and intricate designs.,"Art appreciation, observing architectural details, and learning about historical mural techniques like sgraffito.","Intriguing and culturally rich, evoking admiration for the craftsmanship and historical artistry of the mural.",48.833855,2.3176441,649911.7619107105,6859527.604592492,475
Fresque Musicale,"Visually appealing artistic elements or murals, described as 'pretty' by visitors.",Photographing vibrant visuals and appreciating artistic installations.,Charming and aesthetically pleasing environment with a focus on visual delight.,48.8636396,2.3492554,652259.4245801524,6862819.780251836,476
Le Vieux Gaulois,Evokes imagery of historical Gaul with potential rustic or aged elements based on 'old Gaul' reference.,"Reflecting on personal state or taking a break, implied by the tired tone in the review.","Fatigued or weary vibe, as suggested by the visitor comparing their state to an 'old Gaul'.",48.8586685,2.3575003,652859.7840716154,6862262.081474576,477
Les berges de seine,A small path along the Seine riverbank.,Walking along the riverside path.,Simple and focused on the Seine's proximity.,48.86300139999999,2.309851,649368.0508914565,6862773.362991327,478
Statue du baron Haussmann,"A bronze statue honoring Baron Haussmann, notable for its detailed sculpting and dignified representation of the historical figure.","Admiring the sculpture, reflecting on historical contributions, and brief stops to appreciate artistic craftsmanship.","Friendly and welcoming, with a respectful ambiance that encourages admiration for the historical figure and artistic craftsmanship.",48.875341,2.316432,649862.7239995062,6864141.229418857,479
Castel Béranger,"Emblematic Art Nouveau architecture by Hector Guimard, featuring intricate design elements and historic significance. Described as 'breathtaking' for its visual and structural uniqueness.","Architectural appreciation, sightseeing, and exploring historic design details.","Awe-inspiring and artistic, blending historic charm with innovative architectural creativity.",48.85247709999999,2.2745105,646764.6570533781,6861626.402555503,480
Ecole du Breuil,"Superbly maintained park featuring botanical elements and educational horticultural content, described as magnificent and beautiful.","Free visits, leisurely exploration of gardens, and educational walks focused on horticultural training.","Tranquil, picturesque, and serene environment with a peaceful, lesser-known charm.",48.8224493,2.4589815,660277.740875802,6858179.040161047,481
"L'Effort (Pierre Roche, 1898)","Hidden bronze sculpture in a garden corner, featuring dynamic human figures. Integrated into garden design with surrounding greenery and stone elements.","Exploring gardens to find hidden art, observing sculpture details, quiet contemplation in natural surroundings.","Tranquil, secluded, and contemplative with an artistic vibe. Peaceful integration into nature evokes serenity.",48.8793423,2.2899143,647921.7977801186,6864603.30839004,482
Statue de Dante,"Bronze statue of Dante Alighieri created in 1882 by Jean-Paul Aubé. Visual focus is on the historical figure's sculptural representation, though proximity is restricted due to barriers like weather or physical distance.","Viewing the statue from a distance, appreciating its craftsmanship, and historical reflection. Limited to observational engagement due to accessibility constraints.","Somber and reflective, influenced by the statue's imposing presence and occasional weather challenges. Feels culturally significant but slightly unapproachable due to physical barriers.",48.849383,2.3450902,651940.712081594,6861237.098399861,483
Statue de Marseille,"Monumental statue part of a series of eight, featuring large-scale artistic structures.","Sightseeing, observing public events or police activity, visiting as part of a statue series tour.","Dynamic with occasional unpredictability due to public incidents, juxtaposed with artistic grandeur.",48.8642467,2.3212619,650206.3672679337,6862904.573545272,484
Maison paroissiale Saint Ambroise,Community-oriented space with a focus on social interaction and cultural exchange.,"Participating in community events, cultural exchanges, and social gatherings.",Welcoming and interactive environment fostering connection and shared experiences.,48.8618123,2.3769327,654288.2679616954,6862600.221005519,485
Fresque Sempé,"Features vibrant caricatures by Sempé and French illustrators, displayed as a temporary mural in the 15th arrondissement. Commemorates events with joyous and colorful themes.","Viewing and admiring the detailed caricatures, photographing the mural, and exploring the temporary public art installation during festivals or events.","Joyous, colorful, and culturally rich, reflecting Sempé’s whimsical style and the celebratory vibe of temporary artistic commemorations.",48.8613368,2.3668752,653549.9847738023,6862553.21856243,486
Street Art Fresque Philippe Pinel,"Monumental street art fresco on social housing (HLM) buildings, featuring large-scale urban artwork accessible via metro line 6.","Viewing/photographing street art, exploring dual frescoes on separate buildings, and appreciating public art accessibility.","Urban, culturally revitalizing vibe with a focus on community art and modern creativity in a public space.",48.8333703,2.3620196,653168.6304084549,6859446.477814907,487
Statue de César Frank,"Statue honoring composer César Franck, situated near a flower market and church with a flowing fountain. Combines artistic tribute with natural and architectural elements.","Visiting the statue, exploring the adjacent flower market, and appreciating nearby church architecture.","Tranquil and culturally enriching, blending artistic reverence with natural beauty from flowers and water features.",48.8589422,2.3199179,650102.6910417116,6862315.607180546,488
Fontaine pétillante,"Features a unique sparkling water fountain, though currently reported as empty. Focuses on a functional drinking fountain with novelty appeal.","Visiting to see the fountain, potentially tasting sparkling water (when operational). Quick photo stop due to limited functionality.","Mix of initial excitement for its novelty and disappointment due to non-functional state. Casual, curiosity-driven vibe with tempered expectations.",48.8575475,2.3513765,652409.466897741,6862141.109201814,489
